matchId,season,date,round,phase,home,away,venue,vbucket,predMargin,absPred,closeBand,weTipped,actualMargin,absActual,draw,miss,class,fieldN,fieldShareCorrect,fieldHomeShare,fieldFav,weAgainstField,ourProbWinner,fieldProbWinner,restHome,restAway,restDiff,postByeHome,postByeAway,weather,wet,gameid
1924,2025,2025-05-18,Round 10,mid,Brisbane Lions,Melbourne,Gabba,true_home_interstate,29.5,29.5,24+,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.172,0.181,7,8,-1,False,False,RAIN,True,37178
1925,2025,2025-05-18,Round 10,mid,West Coast,St Kilda,Perth Stadium,true_home_interstate,-15.96,15.96,12-24,away,28,28,False,True,consensus,23,0.0,0.0,away,False,0.293,0.283,7,9,-2,False,False,SUNNY,False,37179
1928,2025,2025-05-24,Round 11,mid,Carlton,GWS Giants,Marvel Stadium,shared_interstate,3.11,3.11,<6,home,-28,28,False,True,consensus,23,0.087,0.87,home,False,0.453,0.41,8,7,1,False,False,RAIN,True,37182
1929,2025,2025-05-24,Round 11,mid,Hawthorn,Brisbane Lions,MCG,shared_interstate,9.61,9.61,6-12,home,-33,33,False,True,consensus,23,0.0,1.0,home,False,0.366,0.342,9,6,3,False,False,RAIN,True,37183
1933,2025,2025-05-25,Round 11,mid,Melbourne,Sydney,MCG,shared_interstate,-3.95,3.95,<6,away,53,53,False,True,consensus,23,0.043,0.043,away,False,0.441,0.447,7,9,-2,False,False,SUNNY,False,37187
1937,2025,2025-05-31,Round 12,mid,Gold Coast,Fremantle,Carrara,true_home_interstate,10.09,10.09,6-12,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.36,0.321,6,7,-1,False,False,RAIN,True,37191
1940,2025,2025-06-01,Round 12,mid,Melbourne,St Kilda,Traeger Park,true_home_same_state,11.44,11.44,6-12,home,-28,28,False,True,consensus,23,0.043,0.957,home,False,0.343,0.415,7,7,0,False,False,SUNNY,False,37194
1942,2025,2025-06-05,Round 13,mid,Western Bulldogs,Hawthorn,Marvel Stadium,shared_derby,9.12,9.12,6-12,home,-22,22,False,True,consensus,23,0.0,1.0,home,False,0.372,0.309,14,6,8,True,False,MOSTLY_SUNNY,False,37196
1946,2025,2025-06-07,Round 13,mid,GWS Giants,Port Adelaide,Manuka Oval,true_home_interstate,13.58,13.58,12-24,home,-16,16,False,True,consensus,23,0.0,1.0,home,False,0.319,0.319,7,14,-7,False,True,RAIN,True,37200
1952,2025,2025-06-14,Round 14,mid,Brisbane Lions,GWS Giants,Gabba,true_home_interstate,25.02,25.02,24+,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.207,0.26,8,7,1,False,False,MOSTLY_SUNNY,False,37206
1958,2025,2025-06-20,Round 15,mid,Geelong,Brisbane Lions,Kardinia Park,true_home_interstate,8.79,8.79,6-12,home,-41,41,False,True,consensus,23,0.0,1.0,home,False,0.376,0.285,6,6,0,False,False,SUNNY,False,37212
1959,2025,2025-06-21,Round 15,mid,Carlton,North Melbourne,MCG,shared_derby,16.9,16.9,12-24,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.283,0.228,6,7,-1,False,False,MOSTLY_SUNNY,False,37213
1960,2025,2025-06-21,Round 15,mid,Port Adelaide,Sydney,Adelaide Oval,true_home_interstate,3.48,3.48,<6,home,-19,19,False,True,grey,23,0.391,0.609,home,False,0.448,0.485,6,14,-8,False,True,SUNNY,False,37214
1962,2025,2025-06-22,Round 15,mid,GWS Giants,Gold Coast,Sydney Showground,true_home_interstate,-0.18,0.18,<6,away,7,7,False,True,grey,23,0.522,0.522,home,True,0.497,0.502,8,15,-7,False,True,SUNNY,False,37216
1978,2025,2025-07-06,Round 17,late,Sydney,Fremantle,SCG,true_home_interstate,-0.67,0.67,<6,away,11,11,False,True,tipper_specific,23,0.87,0.87,home,True,0.49,0.564,9,7,2,False,False,RAIN,True,37230
1981,2025,2025-07-11,Round 18,late,Gold Coast,Collingwood,Carrara,true_home_interstate,-2.79,2.79,<6,away,6,6,False,True,grey,23,0.435,0.435,away,False,0.458,0.479,6,7,-1,False,False,SUNNY,False,37240
1982,2025,2025-07-12,Round 18,late,Western Bulldogs,Adelaide,Marvel Stadium,shared_interstate,5.51,5.51,<6,home,-11,11,False,True,consensus,23,0.0,1.0,home,False,0.419,0.349,9,6,3,False,False,MOSTLY_SUNNY,False,37235
